City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,JB's Record Lounge,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=JB's%20Record%20Lounge%20Atlanta,,
Atlanta,Johnson STEM Activity Center,Atlanta,education-tutoring,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Johnson%20STEM%20Activity%20Center%20Atlanta,,
Atlanta,Just Add Honey Tea Company,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Just%20Add%20Honey%20Tea%20Company%20Atlanta,,
Atlanta,Just Cutz Barber Shop,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Just%20Cutz%20Barber%20Shop%20Atlanta,,
Atlanta,K & K Soul Food,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=K%20%26%20K%20Soul%20Food%20Atlanta,,
Atlanta,Life Bistro,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Life%20Bistro%20Atlanta,,
Atlanta,Liquid Soul,Atlanta,social-media-marketing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Liquid%20Soul%20Atlanta,,
Atlanta,Mahone Studios,Atlanta,photography-videography,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mahone%20Studios%20Atlanta,,
Atlanta,Midtown Dental Center,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Midtown%20Dental%20Center%20Atlanta,,
Atlanta,Miss Conduck,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Miss%20Conduck%20Atlanta,,
Atlanta,Mogul Grooming Co.,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mogul%20Grooming%20Co.%20Atlanta,,
Atlanta,Mr. Everything Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mr.%20Everything%20Cafe%20Atlanta,,
Atlanta,Nail Favor Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nail%20Favor%20Salon%20%26%20Spa%20Atlanta,,
Atlanta,Negril ATL,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Negril%20ATL%20Atlanta,,
Atlanta,Nourish + Bloom Market,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nourish%20%2B%20Bloom%20Market%20Atlanta,,
Atlanta,Nubiance Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nubiance%20Salon%20%26%20Spa%20Atlanta,,
Atlanta,Ooh Spa LaLah,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Ooh%20Spa%20LaLah%20Atlanta,,
Atlanta,Paschal's,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Paschal's%20Atlanta,,
Atlanta,Pink Pothos ATL,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pink%20Pothos%20ATL%20Atlanta,,
Atlanta,Pink Sky Boutique,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pink%20Sky%20Boutique%20Atlanta,,
Atlanta,Plant Based Pizzeria,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Plant%20Based%20Pizzeria%20Atlanta,,
Atlanta,Portrait Coffee,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Portrait%20Coffee%20Atlanta,,
Atlanta,PRecise Communications,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=PRecise%20Communications%20Atlanta,,
Atlanta,Pressed ATL,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pressed%20ATL%20Atlanta,,
Atlanta,Prestige Accounting & Consulting,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Prestige%20Accounting%20%26%20Consulting%20Atlanta,,
Atlanta,Project: Body ATL,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Project%3A%20Body%20ATL%20Atlanta,,
Atlanta,Qtalent Solutions,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Qtalent%20Solutions%20Atlanta,,
Atlanta,RefreshCoAtl,Atlanta,home-living,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=RefreshCoAtl%20Atlanta,,
Atlanta,Respiré Massage & Spa,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Respir%C3%A9%20Massage%20%26%20Spa%20Atlanta,,
Atlanta,Roc South Cuisine,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Roc%20South%20Cuisine%20Atlanta,,
Atlanta,Rock Steady Atlanta,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Rock%20Steady%20Atlanta%20Atlanta,,
Atlanta,Sati Yoga & Wellness,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sati%20Yoga%20%26%20Wellness%20Atlanta,,
Atlanta,Seed Atlanta,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Seed%20Atlanta%20Atlanta,,
Atlanta,Seviin Yoga,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Seviin%20Yoga%20Atlanta,,
Atlanta,Shea Locs Natural Hair Studio,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Shea%20Locs%20Natural%20Hair%20Studio%20Atlanta,,
Atlanta,Shorthair Xpress,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Shorthair%20Xpress%20Atlanta,,
Atlanta,SKYHH Salon,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=SKYHH%20Salon%20Atlanta,,
Atlanta,Slim & Husky's Pizza Beeria,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Slim%20%26%20Husky's%20Pizza%20Beeria%20Atlanta,,
Atlanta,Slutty Vegan ATL,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Slutty%20Vegan%20ATL%20Atlanta,,
Atlanta,Souk Bohemian,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Souk%20Bohemian%20Atlanta,,
Atlanta,Stretch ATL,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Stretch%20ATL%20Atlanta,,
Atlanta,Sublime Doughnuts,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sublime%20Doughnuts%20Atlanta,,
Atlanta,Sweet Auburn Bread Company,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sweet%20Auburn%20Bread%20Company%20Atlanta,,
Atlanta,T. Dallas Smith & Company,Atlanta,real-estate,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=T.%20Dallas%20Smith%20%26%20Company%20Atlanta,,
