City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,Negril ATL,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Negril%20ATL%20Atlanta,Keep,
Atlanta,Nourish + Bloom Market,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nourish%20%2B%20Bloom%20Market%20Atlanta,Keep,
Atlanta,Nubiance Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nubiance%20Salon%20%26%20Spa%20Atlanta,Keep,
Atlanta,Ooh Spa LaLah,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Ooh%20Spa%20LaLah%20Atlanta,Keep,
Atlanta,Paschal's,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Paschal's%20Atlanta,Keep,
Atlanta,Pink Pothos ATL,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pink%20Pothos%20ATL%20Atlanta,Keep,
Atlanta,Pink Sky Boutique,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pink%20Sky%20Boutique%20Atlanta,Keep,
Atlanta,Plant Based Pizzeria,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Plant%20Based%20Pizzeria%20Atlanta,Keep,
Atlanta,Portrait Coffee,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Portrait%20Coffee%20Atlanta,Keep,
Atlanta,PRecise Communications,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=PRecise%20Communications%20Atlanta,Keep,
Atlanta,Pressed ATL,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Pressed%20ATL%20Atlanta,Keep,
Atlanta,Prestige Accounting & Consulting,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Prestige%20Accounting%20%26%20Consulting%20Atlanta,Keep,
Atlanta,Project: Body ATL,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Project%3A%20Body%20ATL%20Atlanta,Keep,
Atlanta,Qtalent Solutions,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Qtalent%20Solutions%20Atlanta,Keep,
Atlanta,RefreshCoAtl,Atlanta,home-living,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=RefreshCoAtl%20Atlanta,Keep,
